,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
0,denton,Elan Denton,1 - 3 ,1 - 2.5 ,"630 - 1,404 ",4.2,"1501 Northstar Rd,
                Denton,
                
TX
76208",1,1,1,1,1,1,1,1,1,"1,621 - 2,420"
1,denton,Eighteen 51 Brinker,1 - 3 ,1 - 2 ,"700 - 1,350 ",4.0,"1851 Brinker Rd,
                Denton,
                
TX
76208",1,1,1,0,1,1,0,1,1,"1,499 - 2,499"
2,denton,Epic Apartments,1 - 3 ,1 - 2 ,"633 - 1,180 ",3.0,"3200 S Interstate 35 E,
                Denton,
                
TX
76210",1,1,1,1,1,1,1,1,1,"1,275 - 1,735"
3,denton,Epoch on Eagle,Studio - 2 ,1 - 2 ,"507 - 1,177 ",4.0,"903 Avenue C,
                Denton,
                
TX
76201",1,1,1,0,1,1,1,0,1,"1,350 - 2,479"
4,denton,Allora Denton,1 - 2 ,1 - 2 ,"850 - 1,317 ",?,"2951 Picadilly Ln,
                Denton,
                
TX
76207",1,1,1,0,0,0,1,0,1,"1,380 - 2,020"
5,denton,Discovery Park Apartments,1 - 2 ,1 - 2 ,"651 - 1,302 ",3.9,"3925 N Elm St,
                Denton,
                
TX
76207",1,1,1,0,1,1,1,1,1,"1,415 - 2,265"
6,denton,Sunstone Village a 55+ Active Adult Cottages,1 - 2 ,1 - 2 ,740 - 950 ,4.6,"2801 Spencer Rd,
                Denton,
                
TX
76208",1,1,1,1,1,1,1,1,1,"1,500 - 2,225"
7,denton,32hundred Windsor,1 - 2 ,1 - 2 ,"812 - 1,185 ",4.1,"3200 W Windsor Dr,
                Denton,
                
TX
76207",1,1,1,0,0,1,0,0,0,"1,400 - 2,780"
8,denton,Majestic Parc Apartments,1 - 2 ,1 - 2 ,"624 - 1,210 ",?,"2700 E McKinney St,
                Denton,
                
TX
76209",0,1,1,0,0,1,0,1,0,"1,308 - 1,899"
9,denton,Timberlinks At Denton,1 - 4 ,1 - 2 ,"544 - 1,200 ",4.4,"5201 Par Dr,
                Denton,
                
TX
76208",1,1,1,0,1,1,1,1,0,"1,143 - 2,796"
10,denton,The Venue,1 - 3 ,1 - 2.5 ,"440 - 1,228 ",3.8,"1407 Bernard St,
                Denton,
                
TX
76201",1,1,1,1,1,1,1,1,1,"709 - 2,157"
