,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
0,denton,Eighteen 51 Brinker,1-3 ,?,"700-1,350 ",3.2857142857142856,"1851 Brinker Rd,  Denton, TX 76208",1,1,1,?,1,1,1,1,1,"1,449-2,499"
1,denton,Elan Denton,1-3 ,?,"630-1,404 ",3.142857142857143,"1501 Northstar Rd,  Denton, TX 76208",1,1,1,?,1,1,0,1,1,"1,534-2,420"
2,denton,Epic Apartments,1-3 ,?,"633-1,180 ",3.5714285714285716,"3200 S Interstate 35 E,  Denton, TX 76210",0,1,1,?,1,1,0,1,1,"1,240-1,350"
3,denton,Epoch on Eagle,Studio-2 ,?,"507-1,177 ",3.4285714285714284,"903 Avenue C,  Denton, TX 76201",1,1,1,?,1,1,0,0,1,"1,350-2,479"
4,denton,32hundred Windsor,1-2 ,?,"812-1,185 ",3.0,"3200 W Windsor Dr,  Denton, TX 76207",0,1,1,?,0,1,0,0,1,"1,395-2,970"
5,denton,Discovery Park Apartments,1-2 ,?,"651-1,302 ",3.5,"3925 N Elm St,  Denton, TX 76207",0,1,1,?,1,1,0,1,1,"1,475-2,065"
6,denton,The Venue,1-3 ,?,"440-1,228 ",3.4285714285714284,"1407 Bernard St,  Denton, TX 76201",1,1,1,?,1,1,0,1,1,"709-2,157"
7,denton,Allora Denton,1-2 ,?,"850-1,317 ",3.25,"2951 Picadilly Ln,  Denton, TX 76207",1,1,1,?,1,0,0,1,1,"1,330-1,870"
8,denton,Majestic Parc Apartments,1-2 ,?,"624-1,210 ",3.0,"2700 E McKinney St,  Denton, TX 76209",?,1,1,?,1,1,0,1,0,"1,308-1,899"
9,denton,Sunstone Village a 55+ Active Adult Cottages,1-2 ,?,740-950 ,3.6666666666666665,"2801 Spencer Rd,  Denton, TX 76208",1,1,1,?,1,1,0,1,1,"1,500-2,225"
10,denton,Timberlinks At Denton,1-4 ,?,"544-1,200 ",3.4285714285714284,"5201 Par Dr,  Denton, TX 76208",0,1,1,?,1,1,0,1,0,"1,143-2,796"
11,denton,Pecan Grove Apartments,Studio-2 ,?,500-600 ,3.6666666666666665,"2429-2431 Stella St,  Denton, TX 76201",?,0,0,?,0,0,0,1,0,"725-1,195"
12,denton,Hickory Creek Ranch,1-3 ,?,"650-1,298 ",3.5714285714285716,"2700 Cedar Creek Ln,  Denton, TX 76210",0,1,1,?,1,1,1,1,0,"1,404-2,927"
13,denton,Urban Square,1-3 ,?,"628-1,401 ",3.2857142857142856,"3202 Unicorn Lake Blvd,  Denton, TX 76210",1,1,1,?,1,1,0,1,1,"1,245-1,995"
14,denton,Retreat at Krum,1-3 ,?,"750-1,380 ",3.0,"3201 Hopkins Rd,  Krum, TX 76249",0,1,1,?,0,1,0,1,1,"1,500-2,125"
15,denton,Woodlands of Denton,1-3 ,?,"630-1,300 ",3.2,"1555 Nottingham Dr,  Denton, TX 76209",1,0,1,?,1,0,0,1,1,"1,195-1,296"
16,denton,Fountains of Denton,1-3 ,?,"776-1,332 ",3.0,"2401 E McKinney St,  Denton, TX 76209",0,1,1,?,1,0,1,0,0,"1,300-2,901"
17,denton,The Vista at Rayzor Ranch,1-2 ,?,"707-1,166 ",3.5,"2401 Linden Dr,  Denton, TX 76201",0,1,1,?,1,1,1,1,1,"1,645-2,405"
18,denton,The Residences at Rayzor Ranch,3-4 ,?,"1,623-1,872 ",3.75,"2028 Ladera Ln,  Denton, TX 76207",1,0,0,?,1,1,1,1,0,"2,535-2,900"
19,denton,UC Denton Student Housing,1-4 ,?,"629-1,440 ",3.3333333333333335,"200 S Bonnie Brae St,  Denton, TX 76201",1,1,1,?,1,0,0,0,0,"599-1,469"
20,denton,Beall Way,3-4 ,?,"1,552-1,924 ",3.0,"140 Crimson Cir,  Denton, TX 76207",0,0,0,?,0,0,0,1,0,"2,020-2,350"
21,denton,Gardens of Denton,1-2 ,?,"648-1,054 ",3.4285714285714284,"401 AME Dr,  Denton, TX 76207",0,1,1,?,1,1,1,1,1,"1,202-2,079"
22,denton,Oak Meadows Apartments,1-3 ,?,"444-1,460 ",3.25,"1810 Teasley Ln,  Denton, TX 76205",0,0,0,?,0,0,1,0,0,"980-3,722"
23,denton,Eureka Village - Free Internet & Cable,1-2 ,?,625-808 ,3.1666666666666665,"2001-2007 Teasley Ln,  Denton, TX 76205",1,1,0,?,1,1,0,1,0,"1,100-1,400"
24,denton,Kensington Park,1-3 ,?,"659-1,390 ",3.4285714285714284,"3150 Garrison Rd,  Corinth, TX 76210",0,1,1,?,1,1,1,0,1,"1,100-2,240"
25,denton,Cooper Denton,1-3 ,?,"683-1,164 ",3.0,"3232 N Locust St,  Denton, TX 76207",1,1,1,?,0,1,1,0,0,"1,370-2,050"
26,denton,Village at Rayzor Ranch,Studio-2 ,?,"507-1,477 ",3.4285714285714284,"3235 Heritage Trail Blvd,  Denton, TX 76201",1,1,1,?,1,1,0,0,1,"1,250-2,599"
27,denton,The Village Residences,Studio-4 ,?,"435-1,149 ",3.5,"1700 E Village Dr,  Denton, TX 76209",?,1,0,?,0,0,0,0,0,"949-1,699"
28,denton,Across The Street Apartments,Studio-2 ,?,375-900 ,4.0,"1701 W Oak St,  Denton, TX 76201",?,1,0,?,1,0,0,1,0,"700-1,125"
29,denton,Paces Crossing,Studio-2 ,?,440-966 ,3.142857142857143,"2411 S I-35 E,  Denton, TX 76210",0,1,1,?,1,1,0,0,0,"980-2,013"
30,denton,Canopy at South Lakes,1-3 ,?,"713-1,256 ",3.2857142857142856,"500 S Interstate 35 E,  Denton, TX 76205",0,1,1,?,0,1,1,0,1,"1,075-2,849"
31,denton,The Lodge at Pecan Creek,1-3 ,?,"734-1,335 ",3.0,"6503 W Shady Shores Rd,  Denton, TX 76208",0,1,1,?,0,1,0,0,0,"1,409-2,150"
32,denton,Camino Del Sol Apartment Homes,1-2 ,?,565-981 ,3.2,"1030 Dallas Dr,  Denton, TX 76205",0,1,1,?,0,1,1,0,0,"1,017-1,907"
33,denton,Preserve at Pecan Creek,1-3 ,?,"738-1,319 ",3.0,"6303 W Shady Shores Rd,  Denton, TX 76208",0,1,0,?,0,1,1,0,0,"1,209-2,149"
34,denton,Pecan Creek on McKinney Apartments,2-4 ,?,"950-1,300 ",3.1666666666666665,"3500 E McKinney Denton St,  Denton, TX 76209",1,1,0,?,0,1,1,0,1,"1,283-1,473"
35,denton,Greenway Patio,1-3 ,?,"711-1,260 ",3.1666666666666665,"2912 Augusta Dr,  Denton, TX 76207",1,1,0,?,1,1,1,0,0,"1,695-1,780"
36,denton,Iconic Village,1-3 ,?,390-784 ,4.0,"2411 W Hickory St,  Denton, TX 76201",0,1,1,?,0,0,0,0,0,"660-1,085"
37,denton,Square9 Apartment Homes,1-2 ,?,"504-1,112 ",3.2,"214 S Bell Ave,  Denton, TX 76201",1,0,0,?,1,0,1,0,1,"1,074-1,742"
38,denton,Quincy Court,1-2 ,?,657-938 ,3.0,"4200 Stuart Rd,  Denton, TX 76207",0,0,0,?,0,1,0,0,0,"1,249-1,649"
