Names,Rent identity
1 bedroom in Denton TX 76201,['$851 ']
1 bedroom in Denton TX 76208,['$863 ' '$864 ']
1 bedroom in Denton TX 76209,['$845 ']
1 bedroom in Denton TX 76210,['$879 ']
"1 br, 1 bath House - 2306 W Hickory St","['$1,295 ']"
1000 Gregg St,"['$1,200 ']"
1000 S Ave B,"['$1,650 ']"
1001 Ross,"['$1,287 - $3,491' '$1,287 - $3,491']"
1004 W Hickory St,"['$1,300 ']"
1009 S Avenue B Unit 1,"['$1,250 ']"
1017 Collier St,"['$1,100 ']"
102 Bentwood Ct,"['$1,250 ']"
1026 Thomas St,"['$2,200 ']"
1026 W Hickory St,"['$3,500 ']"
1102 Savage Dr,"['$1,980 ']"
1108 N Elm St Unit 1,['$995 ']
1108 Neff St Unit 3,['$925 ']
1110 Wilson St,"['$1,150 ']"
1112 Tallahassee Dr,"['$2,350 ']"
1114 Oakwood Dr,"['$1,650 ']"
116 Hann St Unit 1,"['$1,250 ']"
116 Samuel St,"['$2,000 ']"
117 S Elm St,"['$2,600 ']"
1203 Peak St,"['$1,695 ']"
1236 Wilson Dr,"['$4,800 ']"
130 Springtree St,"['$2,430 ']"
14 Fifty-One ALL INCLUSIVE *Student Living*,['$740 - $960']
1405 Canvas Wy,"['$3,510 ']"
1409 Black Oak Dr,"['$2,195 ']"
1409 Canvas Wy,"['$2,985 ']"
1410 Park Palisades Dr,"['$1,995 ']"
1415 Margie,"['$1,250 ']"
1416 Country Club Rd,"['$5,450 ']"
1420 Eufemia Dr,"['$2,355 ']"
1502 Peak Street,['$895 - $975']
1504 Misty Glen,"['$2,275 ']"
1507 Mingo Rd,['$825 ']
1515 Marbellas Ct,"['$4,100 ']"
16TEN East,"['$950 - $1,475']"
1717 N Locust St,"['$1,400 ']"
1803 Willowwood St,"['$1,800 ']"
1804 Spinnaker Dr,"['$2,600 ']"
1809 Spinnaker Dr,"['$2,400 ']"
1821 Vintage Dr,"['$3,000 ']"
1828 Andover Ln,"['$2,475 ']"
1900 Elm,"['$1,064 - $3,620']"
1900 McKinney Avenue,"['$2,835 - $8,389']"
1900 Pacific Residences,"['Call for Rent' '$1,825 - $2,695']"
1902 Spring Valley Dr,"['$2,200 ']"
1907 Camden Ct,"['$1,400 ']"
1908 Jasmine St,"['$2,050 ']"
1908 Tawny Dr,"['$2,400 ']"
