,City,Names,Bed,Area,Rating,location,petsallowed,pool,fitnessCenter,grill,closet,washerdryer,countertops,access,Rent
0,denton,Elan Denton,3.0,1404.0,4.2,"1501 Northstar Rd,
                Denton,
                
TX
76208",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2420.0
1,denton,Eighteen 51 Brinker,3.0,1350.0,4.0,"1851 Brinker Rd,
                Denton,
                
TX
76208",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2499.0
2,denton,Epic Apartments,3.0,1180.0,3.0,"3200 S Interstate 35 E,
                Denton,
                
TX
76210",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1735.0
3,denton,Epoch on Eagle,2.0,1177.0,4.0,"903 Avenue C,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2479.0
4,denton,Allora Denton,2.0,1317.0,3.0,"2951 Picadilly Ln,
                Denton,
                
TX
76207",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2020.0
5,denton,Discovery Park Apartments,2.0,1302.0,3.9,"3925 N Elm St,
                Denton,
                
TX
76207",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2265.0
6,denton,Sunstone Village a 55+ Active Adult Cottages,2.0,950.0,4.6,"2801 Spencer Rd,
                Denton,
                
TX
76208",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2225.0
7,denton,32hundred Windsor,2.0,1185.0,4.1,"3200 W Windsor Dr,
                Denton,
                
TX
76207",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2780.0
8,denton,Majestic Parc Apartments,2.0,1210.0,3.0,"2700 E McKinney St,
                Denton,
                
TX
76209",0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1899.0
9,denton,Timberlinks At Denton,4.0,1200.0,4.4,"5201 Par Dr,
                Denton,
                
TX
76208",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2796.0
10,denton,The Venue,3.0,1228.0,3.8,"1407 Bernard St,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2157.0
11,denton,Pecan Grove Apartments,2.0,600.0,3.1,"2429-2431 Stella St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1195.0
12,denton,Urban Square,3.0,1401.0,4.8,"3202 Unicorn Lake Blvd,
                Denton,
                
TX
76210",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1995.0
13,denton,Hickory Creek Ranch,3.0,1298.0,4.0,"2700 Cedar Creek Ln,
                Denton,
                
TX
76210",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3032.0
14,denton,The Residences at Rayzor Ranch,4.0,2073.0,3.0,"2028 Ladera Ln,
                Denton,
                
TX
76207",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2900.0
15,denton,Fountains of Denton,3.0,1332.0,4.9,"2401 E McKinney St,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2974.0
16,denton,The Vista at Rayzor Ranch,2.0,1166.0,3.0,"2401 Linden,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2405.0
17,denton,Eureka Village - Free Internet & Cable,2.0,808.0,3.7,"2001-2007 Teasley Ln,
                Denton,
                
TX
76205",1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1400.0
18,denton,Beall Way,4.0,1924.0,3.0,"140 Crimson Cir,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2268.0
19,denton,Gardens of Denton,2.0,1054.0,4.7,"401 AME Dr,
                Denton,
                
TX
76207",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1967.0
20,denton,Oak Meadows Apartments,3.0,1460.0,3.9,"1810 Teasley Ln,
                Denton,
                
TX
76205",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3713.0
21,denton,UC Denton Student Housing,4.0,1440.0,4.9,"200 S Bonnie Brae St,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1469.0
22,denton,Cooper Denton,3.0,1164.0,4.1,"3232 N Locust St,
                Denton,
                
TX
76207",1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2050.0
23,denton,Village at Rayzor Ranch,2.0,1477.0,4.9,"3235 Heritage Trail Blvd,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2599.0
24,denton,The Village Residences,4.0,1149.0,3.0,"1700 E Village Dr,
                Denton,
                
TX
76209",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1650.0
25,denton,The Mark At Denton,3.0,1154.0,3.0,"3500 N Bonnie Brae St,
                Denton,
                
TX
76207",1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2625.0
26,denton,Woodlands of Denton,3.0,1300.0,3.8,"1555 Nottingham Dr,
                Denton,
                
TX
76209",1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2000.0
27,denton,Lana Apartments,2.0,885.0,3.9,"521 E Windsor Dr,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1454.0
28,denton,East End Lofts at the Railyard,3.0,1799.0,4.9,"612-616 E Hickory St,
                Denton,
                
TX
76205",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2505.0
29,denton,Longhorn Cove Townhomes,3.0,1409.0,3.0,"303 Stockade Ln,
                Denton,
                
TX
76205",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1955.0
30,denton,The Lodge at Pecan Creek,3.0,1335.0,3.0,"6503 W Shady Shores Rd,
                Denton,
                
TX
76208",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2150.0
31,denton,Greenway Patio,3.0,1260.0,4.0,"2912 Augusta Dr,
                Denton,
                
TX
76207",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1810.0
32,denton,Paces Crossing,2.0,966.0,4.0,"2411 S I-35 E,
                Denton,
                
TX
76210",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2076.0
33,denton,Quincy Court,2.0,938.0,3.0,"4200 Stuart Rd,
                Denton,
                
TX
76207",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1649.0
34,denton,Sequoia Park Apartments,2.0,875.0,3.3,"1400 E University Denton Dr,
                Denton,
                
TX
76209",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2878.3
35,denton,Camino Del Sol Apartment Homes,2.0,981.0,3.1,"1030 Dallas Dr,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1907.0
36,denton,WatersEdge Denton Apartments,2.0,1187.0,3.9,"1939 Colorado Blvd,
                Denton,
                
TX
76205",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2610.0
37,denton,Square9 Apartment Homes,2.0,1112.0,4.8,"214 S Bell Ave,
                Denton,
                
TX
76201",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1742.0
38,denton,Canopy at South Lakes,3.0,1256.0,5.0,"500 S Interstate 35 E,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2987.0
39,denton,The Pearl on University,2.0,1000.0,3.0,"2425 Old North Rd,
                Denton,
                
TX
76209",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,925.0
40,denton,Ridgecrest,2.0,1069.0,3.8,"1300 Dallas Dr,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1609.0
41,denton,MACK PARK,2.0,1000.0,3.9,"400 Audra Ln,
                Denton,
                
TX
76209",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1400.0
42,denton,14 Fifty-One ALL INCLUSIVE *Student Living*,5.0,1947.0,4.9,"1451 Centre Place Dr,
                Denton,
                
TX
76205",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,960.0
43,denton,Across The Street Apartments,2.0,900.0,3.0,"1701 W Oak St,
                Denton,
                
TX
76201",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1125.0
44,denton,Preserve at Pecan Creek,3.0,1319.0,5.0,"6303 W Shady Shores Rd,
                Denton,
                
TX
76208",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2149.0
45,denton,Aspire Apartments,2.0,960.0,3.9,"201 Coronado Dr,
                Denton,
                
TX
76209",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1264.0
46,denton,Arbors of Denton,3.0,1034.0,4.8,"1103 Bernard St,
                Denton,
                
TX
76201",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1274.0
47,denton,16TEN East,2.0,877.0,3.9,"1610 E McKinney St,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1475.0
48,denton,Concrete Jungle Properties-DENTON,2.0,900.0,3.2,"2320 W Prairie St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1350.0
49,denton,Oaks of Denton,3.0,987.0,4.6,"425 Bernard St,
                Denton,
                
TX
76201",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1620.0
50,denton,Iconic Village,3.0,784.0,3.0,"2411 W Hickory St,
                Denton,
                
TX
76201",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1085.0
51,denton,Pecan Creek on McKinney Apartments,4.0,1300.0,4.0,"3500 E McKinney Denton St,
                Denton,
                
TX
76209",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1477.0
52,denton,Forum at Denton Station,4.0,1451.0,5.0,"201 Inman St,
                Denton,
                
TX
76205",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1195.0
53,denton,Vitae Residences,2.0,1030.0,4.9,"1702 N Ruddell St,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1251.0
54,denton,Residences at The Union,2.0,850.0,4.0,"2211 W Hickory St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2878.3
55,denton,Coronado Villas,2.0,1350.0,4.0,"113 Coronado Dr,
                Denton,
                
TX
76209",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1700.0
56,denton,The Quarter,2.0,710.0,4.0,"1003 Eagle Dr,
                Denton,
                
TX
76201",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,969.0
57,denton,Starlite,2.0,575.0,3.0,"425 Fulton St,
                Denton,
                
TX
76201",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,705.0
58,denton,University Place,2.0,776.0,3.7,"911 Bernard St,
                Denton,
                
TX
76201",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,750.0
59,denton,Country Park Apartment Homes,3.0,1075.0,3.9,"1606 E McKinney St,
                Denton,
                
TX
76209",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1264.0
60,denton,1717 N Locust St,2.0,800.0,3.0,"1717 N Locust St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1399.0
61,denton,"CDI Crow, LLC",4.0,1200.0,2.1,"1831-1849 Crow St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2800.0
62,denton,Hunter's Creek Apartments,3.0,1363.0,3.0,"2250 Hunter's Creek Rd,
                Denton,
                
TX
76210",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2770.0
63,denton,Park Place,2.0,886.0,3.0,"2001 W Hickory St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1250.0
64,denton,Millennium Place Apartments,2.0,1380.0,4.0,"6651 I35E,
                Denton,
                
TX
76208",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2034.0
65,denton,Struga Place,2.0,954.0,3.0,"206 Sawyer Ave,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.0
66,denton,Vineyard Apartments,2.0,935.0,3.0,"902 Vine St,
                Denton,
                
TX
76209",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1150.0
67,denton,Holly Hills,3.0,1432.0,4.2,"900 Londonderry Ln,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1975.0
68,denton,404 Industrial Park,2.0,1564.0,3.0,"404 Industrial St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1795.0
69,denton,Trinity Pines,2.0,991.0,3.1,"3815 Stuart Rd,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.0
70,denton,Forest Ridge,3.0,1400.0,3.0,"1810 Westminster St,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1780.0
71,denton,University LOFT Apartments,2.0,850.0,3.0,"2421 Louise St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
72,denton,Lone Star Apartments,2.0,850.0,4.0,"600 Texas St,
                Denton,
                
TX
76209",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1150.0
73,denton,Bent Tree Apartments,2.0,935.0,3.0,"1000 N Bell Ave,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1300.0
74,denton,Cornerstone Apartments,2.0,927.0,1.0,"700 Hercules Ln,
                Denton,
                
TX
76209",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0
75,denton,The Dominion Apartments,2.0,850.0,3.0,"923-929 W Sycamore St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1100.0
76,denton,The Crossing Apartments,1.0,570.0,3.0,"2413 Prairie St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
77,denton,Holly Tree,2.0,842.0,3.0,"2527 Louise St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1050.0
78,denton,The Loop,3.0,1100.0,2.8,"517 N Loop 288,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1650.0
79,denton,Woodhill Apartments,2.0,1148.0,3.9,"1408 Teasley Ln,
                Denton,
                
TX
76205",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1784.0
